Index,Year,Tag,M,L,U,N,Error,Std
CNR,2018,Pub,0.00122249599195056,0.00122061092068456,0.00122438182088186,1319844000,0.03494283181856084,1269.461105283263
CNR,2018,Pri,4.1095008197938545e-4,4.0985677095171854e-4,4.1204415067235217e-4,1319844000,0.02026773795985893,736.3199744574605
CNR,2018,NAAT,5.676307199941811e-4,5.663457196456551e-4,5.689157203427072e-4,1319844000,0.02381823913222595,865.3084653155034
CNR,2018,All,0.00163344607392994,0.00163126778619291,0.00163562511933228,1319844000,0.04038289152417781,1467.0966101146478
CNR,2019,Pub,0.00129356522651556,0.0012916367806271,0.00129549442189719,1334235000,0.03594289798444636,1312.8927640535812
CNR,2019,Pri,5.088271556360012e-4,5.076174736834216e-4,5.10037587081736e-4,1334235000,0.02255145783672728,823.7411970929793
CNR,2019,Bac,8.797363283079817e-4,8.781459038325332e-4,8.813275022765854e-4,1334235000,0.02964729991585468,1082.9323097457386
CNR,2019,CDx,9.226560538435882e-4,9.210274052172218e-4,9.2428545196311e-4,1334235000,0.03036123778191353,1109.010447873002
CNR,2019,All,0.00180239238215157,0.00180011692093221,0.00180466859286407,1334235000,0.04241631483111578,1549.348437170773
CNR,2020,Pub,9.830559625571696e-4,9.813838779904732e-4,9.847287886247827e-4,1348616000,0.03133830824297397,1150.8525964743706
CNR,2020,Pri,3.558499973305967e-4,3.548437805869128e-4,3.568569555751971e-4,1348616000,0.01886063010903921,692.6284904673147
CNR,2020,All,0.00133890595988776,0.00133695507097646,0.00134085759029998,1348616000,0.03656655973315433,1342.8523290650426
CNR,2021,Pub,0.00106140471868795,0.00105967618631172,0.00106313398473667,1363006000,0.03256191239333319,1202.1503503023528
CNR,2021,Pri,5.05594986375702e-4,5.044020349140063e-4,5.067886715098833e-4,1363006000,0.02247975444895815,829.9280570221939
CNR,2021,Bac,7.038340256756023e-4,7.02426108175606e-4,7.052419431755986e-4,1363006000,0.02652053248597968,979.1091823204134
CNR,2021,CDx,8.631656793880584e-4,8.616066253560146e-4,8.647247334201023e-4,1363006000,0.02936699890009167,1084.1976229351365
