pr,cum,scale,Share
0.1,0.22896274985380968,0.41,0.22896274985380968
0.2,0.3626504417225453,0.41,0.1336876918687356
0.3,0.4709389113677812,0.41,0.10828846964523592
1,1,0.41,0.5290610886322188
