Time,Round,Eval,Eps,ESS,Acc
0,0,300,inf,300.00000000000114,1.0
1,1,300,0.11284866579449127,270.00000000000085,0.9166666666666666
2,2,300,0.10873602317450044,242.0,0.8
3,3,300,0.1073305544495352,220.00000000000085,0.7766666666666666
4,4,300,0.10615523153309848,200.00000000000065,0.74
5,5,300,0.10537062082062042,186.00000000000045,0.7033333333333334
6,6,300,0.09847948939085688,300.00000000000114,0.76
7,7,300,0.08686810963787057,270.00000000000085,0.74
8,8,300,0.0735476204245235,244.00000000000134,0.64
9,9,300,0.06697947211146507,219.00000000000017,0.6233333333333333
10,10,300,0.061654801747136695,198.00000000000026,0.5666666666666667
11,11,300,0.05654402811010781,181.00000000000028,0.5266666666666666
12,12,300,0.051910493897052754,300.00000000000114,0.6
13,13,300,0.045945380138801124,270.00000000000085,0.5733333333333334
14,14,300,0.03993545177325981,244.99999999999878,0.54
15,15,300,0.036271955933152196,220.00000000000085,0.4866666666666667
16,16,300,0.032781009919293023,200.00000000000065,0.5333333333333333
17,17,300,0.02851912682432924,181.00000000000028,0.45
18,18,300,0.025838281071010823,300.00000000000114,0.42333333333333334
19,19,300,0.022960177338463762,267.9999999999984,0.42
20,20,300,0.019418901320517143,242.9999999999999,0.3566666666666667
21,21,300,0.017139523951867672,219.00000000000017,0.37
22,22,300,0.015106589698885465,196.9999999999999,0.35
23,23,300,0.013628913890437213,300.00000000000114,0.33
24,24,300,0.012236087571910598,269.0000000000008,0.26666666666666666
25,25,300,0.010958551658551413,242.0,0.25333333333333335
