Time,Round,Eval,Eps,ESS,Acc
0,0,300,inf,300.00000000000114,1.0
1,1,300,2.140706360252571,270.00000000000085,0.5166666666666667
2,2,300,1.6564233987265837,242.0,0.38
3,3,300,1.373908505816323,214.9999999999989,0.41333333333333333
4,4,300,1.126745418321789,191.00000000000034,0.31
5,5,300,0.9612558987047374,300.00000000000114,0.36333333333333334
6,6,300,0.8643865675985328,267.9999999999984,0.25333333333333335
7,7,300,0.7820152525497077,242.00000000000006,0.33
8,8,300,0.6548038103792491,218.0000000000005,0.24333333333333335
9,9,300,0.5534728965306018,195.9999999999999,0.21
10,10,300,0.4711191781665846,300.00000000000114,0.24
