Year,Scenario,name,M,L,U
2024,Baseline,IncR,0.0017192685986409,0.001494573847177905,0.001955208248533555
2024,Baseline,MorR,2.71354127444395e-4,2.20504865843585e-4,3.594914338670525e-4
2024,CombinePPM_Hi,IncR,0.00171926860700063,0.0014945738908253002,0.001955209108301285
2024,CombinePPM_Hi,MorR,2.7135412683924e-4,2.20504869073775e-4,3.5949144123691e-4
2024,CombinePPM_Lo,IncR,0.0017192686075531548,0.0014945738908334425,0.0019552091068063275
2024,CombinePPM_Lo,MorR,2.7135412710804e-4,2.205048677354325e-4,3.594914381723675e-4
2024,Combine_Hi,IncR,0.0017192686033984201,0.001494573893385185,0.0019552091105834225
2024,Combine_Hi,MorR,2.7135412684366e-4,2.20504869112125e-4,3.59491441333265e-4
2024,Combine_Lo,IncR,0.00171926860395239,0.001494573893457465,0.0019552091090829
2024,Combine_Lo,MorR,2.7135412711246e-4,2.205048677737825e-4,3.594914382687275e-4
2024,DxPPM_POC,IncR,0.0017192685992785798,0.0014945738441746999,0.0019552082490027
2024,DxPPM_POC,MorR,2.7135412727729e-4,2.205048669412925e-4,3.5949143646405503e-4
2024,DxPPM_POC_Hi,IncR,0.00171926860163496,0.0014945738444784224,0.0019552082465396628
2024,DxPPM_POC_Hi,MorR,2.7135412741345003e-4,2.2050486598636503e-4,3.594914341994725e-4
2024,DxPPM_TSwab,IncR,0.001719268601590055,0.0014945738444466826,0.001955208246588105
2024,DxPPM_TSwab,MorR,2.7135412741054004e-4,2.2050486600885247e-4,3.5949143425313256e-4
2024,Dx_POC,IncR,0.00171926859566679,0.0014945738469173725,0.0019552082513942448
2024,Dx_POC,MorR,2.71354127281475e-4,2.205048669796675e-4,3.5949143656054003e-4
2024,Dx_POC_Hi,IncR,0.001719268598032835,0.0014945738471887023,0.001955208248916418
2024,Dx_POC_Hi,MorR,2.7135412741790003e-4,2.2050486602471e-4,3.59491434295815e-4
2024,Dx_POC_Hi_ITT,IncR,0.0017192686219681102,0.0014945738443249775,0.0019552083132219574
2024,Dx_POC_Hi_ITT,MorR,2.7135412606328e-4,2.2050487551598e-4,3.59491456807435e-4
2024,Dx_POC_ITT,IncR,0.00171926863093318,0.0014945738439578625,0.00195520832511322
2024,Dx_POC_ITT,MorR,2.7135412592995496e-4,2.2050487646889247e-4,3.5949145906982e-4
2024,Dx_TSwab,IncR,0.0017192685979877899,0.0014945738471540525,0.0019552082489614426
2024,Dx_TSwab,MorR,2.7135412741495003e-4,2.205048660472075e-4,3.594914343494925e-4
2024,Dx_TSwab_ITT,IncR,0.001719268622194345,0.0014945738442881024,0.00195520831348899
2024,Dx_TSwab_ITT,MorR,2.7135412606040497e-4,2.2050487553840502e-4,3.5949145686106e-4
2024,Mass_NAAT_20_HRZE,IncR,0.0017192686042922498,0.0014945738936498077,0.0019552091104963498
2024,Mass_NAAT_20_HRZE,MorR,2.71354126902495e-4,2.205048689370225e-4,3.5949144088898e-4
2024,Mass_NAAT_20_PAN,IncR,0.00171926984790895,0.0014945747139609327,0.0019552360351241076
2024,Mass_NAAT_20_PAN,MorR,2.7135196776002996e-4,2.2050487257081503e-4,3.5949144455553754e-4
2024,Mass_Xray_10_HRZE,IncR,0.0017192686045992799,0.0014945738934720473,0.0019552091087550825
2024,Mass_Xray_10_HRZE,MorR,2.71354127141895e-4,2.2050486757017748e-4,3.594914377863025e-4
