Year,Scenario,name,M,L,U
2024,Vac_BCG,AvtMor,0,0,0
2024,Vac_BCG-M72,AvtInc,0,0,0
2024,Vac_BCG-M72,AvtMor,0,0,0
2024,Vac_M72,AvtInc,0,0,0
2024,Vac_M72,AvtMor,0,0,0
2024,Vac_Recurrence,AvtInc,0,0,0
2024,Vac_Recurrence,AvtMor,0,0,0
2025,Baseline,AvtInc,0,0,0
2025,Baseline,AvtMor,0,0,0
2025,CombinePPM_Hi,AvtInc,-1.916993728752861e-6,-6.4670537806322575e-6,4.598383959575542e-6
2025,CombinePPM_Hi,AvtMor,1.4517086289068568e-4,1.3014703937116445e-4,1.5639649140038707e-4
2025,Combine_Hi,AvtInc,1.968463207565349e-5,1.5631198688232916e-5,2.573557589788724e-5
2025,Combine_Hi,AvtMor,1.0679950521435785e-4,8.931624477982093e-5,1.3146736133462134e-4
2025,DxPPM_POC,AvtInc,9.708436100245668e-5,7.342360303278911e-5,1.2789667384124266e-4
2025,DxPPM_POC,AvtMor,6.423514365247235e-4,5.528166272117313e-4,7.748709127554408e-4
2025,DxPPM_POC_Hi,AvtInc,-5.844912960938251e-6,-9.854464003718144e-6,1.3814261235910157e-7
2025,DxPPM_POC_Hi,AvtMor,1.3012298485531344e-4,1.1818726037089086e-4,1.3918682069854763e-4
2025,DxPPM_TSwab,AvtInc,-1.9171281130456416e-6,-6.467186877179672e-6,4.598246220556087e-6
2025,DxPPM_TSwab,AvtMor,1.4517074131081768e-4,1.3014689257290617e-4,1.5639635846864943e-4
2025,Dx_POC,AvtInc,1.123071750536744e-4,9.103192512391434e-5,1.4673345535453508e-4
2025,Dx_POC,AvtMor,5.860959914904531e-4,4.816352847822053e-4,7.194453621372335e-4
2025,Dx_POC_Hi,AvtInc,1.6654479561326156e-5,1.3113179295286545e-5,2.2002315794956683e-5
2025,Dx_POC_Hi,AvtMor,9.689619750501217e-5,8.244418188765938e-5,1.1916473247414682e-4
2025,Dx_POC_Hi_ITT,AvtInc,8.860144092047229e-4,7.238856566752362e-4,0.0011854964503153237
2025,Dx_POC_Hi_ITT,AvtMor,0.004608717176334209,0.003756869763749739,0.005682938393965435
2025,Dx_POC_ITT,AvtInc,9.794835919894132e-4,8.014554255425306e-4,0.0013134235565485518
2025,Dx_POC_ITT,AvtMor,0.005084877392014386,0.004135998201586307,0.006286923165482672
2025,Dx_TSwab,AvtInc,1.9684435378170253e-5,1.563106595821472e-5,2.5735406118204085e-5
2025,Dx_TSwab,AvtMor,1.0679938044905382e-4,8.931611177868093e-5,1.3146725150785767e-4
2025,Dx_TSwab_ITT,AvtInc,8.889499238849902e-4,7.266563924618422e-4,0.0011893708847791522
2025,Dx_TSwab_ITT,AvtMor,0.004618700524050263,0.0037631443389816834,0.005694481703910444
2025,Mass_NAAT_20_HRZE,AvtInc,0,0,0
2025,Mass_NAAT_20_HRZE,AvtMor,0,0,0
2025,Mass_NAAT_20_PAN,AvtInc,6.104728821023087e-11,5.257803822550516e-11,6.937620350536282e-11
2025,Mass_NAAT_20_PAN,AvtMor,4.9288120704534975e-11,4.276960446646269e-11,5.623028411973927e-11
2025,Mass_Xray_10_HRZE,AvtInc,0,0,0
2025,Mass_Xray_10_HRZE,AvtMor,0,0,0
2025,Mass_Xray_10_PAN,AvtInc,6.104728821023087e-11,5.257803822550516e-11,6.937620350536282e-11
